EW[0]	EW[1]	EW[2]	EW[3]	
0.131111	0.24	0.0520833	0.0972222	
0.14	0.26	0.0555556	0.0833333	
0.06	0.52	0.0520833	0.0972222	
0.08	0.32	0.0451389	0.0972222	
0.0711111	0.34	0.0555556	0.0833333	
0.08	0.3	0.0520833	0.0833333	
0.0755556	0.16	0.0451389	0.0833333	
0.117778	0.16	0.0520833	0.111111	
0.104444	0.28	0.0486111	0.138889	
0.06	0.18	0.0590278	0.111111	
0.0977778	0.2	0.0555556	0.111111	
0.122222	0.26	0.0833333	0.0833333	
0.0666667	0.2	0.0555556	0.0833333	
0.0888889	0.3	0.0694444	0.125	
0.0822222	0.32	0.0486111	0.0972222	
0.117778	0.3	0.0486111	0.0972222	
0.0733333	0.16	0.0590278	0.0972222	
0.0666667	0.26	0.0486111	0.0972222	
0.0711111	0.2	0.0694444	0.125	
0.0688889	0.4	0.0486111	0.0972222	
0.0844444	0.34	0.0520833	0.0833333	
0.102222	0.18	0.0625	0.125	
0.0822222	0.2	0.0486111	0.0972222	
0.128889	0.16	0.0486111	0.125	
0.102222	0.24	0.0659722	0.0833333	
0.0711111	0.18	0.0555556	0.0972222	
0.0711111	0.26	0.0555556	0.0972222	
0.0711111	0.18	0.0555556	0.111111	
0.12	0.16	0.0694444	0.0833333	
0.0577778	0.22	0.0486111	0.0833333	
0.133333	0.22	0.0659722	0.0972222	
0.0555556	0.28	0.0625	0.152778	
0.0911111	0.22	0.0555556	0.0833333	
0.0911111	0.2	0.0486111	0.138889	
0.153333	0.36	0.0659722	0.0972222	
0.0622222	0.14	0.0694444	0.111111	
0.0555556	0.24	0.0590278	0.125	
0.104444	0.3	0.0486111	0.111111	
0.146667	0.14	0.0555556	0.111111	
0.0644444	0.18	0.0659722	0.111111	
0.14	0.14	0.0694444	0.111111	
0.0688889	0.22	0.0555556	0.0972222	
0.0733333	0.18	0.0659722	0.0972222	
0.0622222	0.2	0.0520833	0.0833333	
0.0688889	0.32	0.0520833	0.111111	
0.0666667	0.22	0.0555556	0.0972222	
0.0666667	0.26	0.0625	0.0833333	
0.0688889	0.32	0.0486111	0.111111	
0.122222	0.54	0.0590278	0.0833333	
0.0711111	0.24	0.0694444	0.138889	
0.0733333	0.2	0.0520833	0.138889	
0.0577778	0.4	0.0659722	0.0833333	
0.0777778	0.14	0.0590278	0.0833333	
0.0688889	0.2	0.0451389	0.0833333	
0.0933333	0.32	0.0590278	0.111111	
0.128889	0.22	0.0555556	0.111111	
0.128889	0.36	0.0555556	0.0833333	
0.122222	0.14	0.0486111	0.138889	
0.108889	0.16	0.0555556	0.0972222	
0.0755556	0.34	0.0451389	0.0833333	
0.0844444	0.12	0.0486111	0.138889	
0.0977778	0.2	0.0486111	0.0972222	
0.0577778	0.2	0.0694444	0.0972222	
0.0888889	0.16	0.0486111	0.0833333	
0.0777778	0.22	0.0451389	0.166667	
0.133333	0.44	0.0729167	0.0833333	
0.0977778	0.16	0.0729167	0.166667	
0.0711111	0.3	0.0486111	0.0833333	
0.1	0.28	0.0555556	0.111111	
0.122222	0.32	0.0451389	0.0833333	
0.08	0.42	0.0590278	0.111111	
0.0888889	0.22	0.0486111	0.0833333	
0.106667	0.42	0.0555556	0.0972222	
0.0955556	0.22	0.0763889	0.0972222	
0.104444	0.24	0.0555556	0.0972222	
0.108889	0.54	0.0798611	0.0972222	
0.111111	0.18	0.0555556	0.0972222	
0.12	0.22	0.0625	0.0972222	
0.0822222	0.22	0.0486111	0.111111	
0.0644444	0.18	0.0729167	0.125	
0.0444444	0.36	0.0555556	0.0833333	
0.0733333	0.28	0.0729167	0.0972222	
0.0888889	0.16	0.0555556	0.0972222	
0.0777778	0.3	0.0555556	0.0972222	
0.0866667	0.16	0.0590278	0.0833333	
0.0777778	0.12	0.0625	0.111111	
0.0533333	0.16	0.0590278	0.0833333	
0.113333	0.14	0.0868056	0.0972222	
0.111111	0.3	0.0694444	0.138889	
0.0888889	0.32	0.0590278	0.111111	
0.0911111	0.18	0.0520833	0.138889	
0.106667	0.22	0.0555556	0.0972222	
0.1	0.12	0.0590278	0.0972222	
0.0644444	0.16	0.0659722	0.125	
0.0755556	0.66	0.0555556	0.0972222	
0.0622222	0.24	0.0416667	0.125	
0.0866667	0.22	0.0555556	0.0972222	
0.0777778	0.18	0.0625	0.0972222	
0.0911111	0.36	0.0625	0.111111	
0.0755556	0.26	0.0486111	0.0833333	
0.142222	0.22	0.0625	0.0972222	
0.0866667	0.18	0.0659722	0.0833333	
0.0755556	0.18	0.0520833	0.111111	
0.0666667	0.18	0.0486111	0.0972222	
0.144444	0.24	0.0590278	0.111111	
0.08	0.22	0.0625	0.0833333	
0.191111	0.22	0.0451389	0.125	
0.0688889	0.14	0.0486111	0.0972222	
0.0555556	0.2	0.0520833	0.0833333	
0.0755556	0.18	0.0625	0.125	
0.0977778	0.12	0.0555556	0.0972222	
0.0866667	0.42	0.111111	0.138889	
0.0688889	0.28	0.0659722	0.111111	
0.0533333	0.26	0.0763889	0.138889	
0.0933333	0.18	0.0451389	0.0833333	
0.0955556	0.16	0.0520833	0.152778	
0.102222	0.24	0.0555556	0.0972222	
0.0888889	0.18	0.0486111	0.0972222	
0.0822222	0.32	0.0555556	0.0833333	
0.113333	0.16	0.0555556	0.0972222	
0.0977778	0.3	0.0659722	0.0833333	
0.104444	0.16	0.0486111	0.0972222	
0.1	0.32	0.0486111	0.0972222	
0.0822222	0.32	0.0555556	0.0972222	
0.06	0.18	0.0590278	0.138889	
0.108889	0.2	0.0486111	0.0972222	
0.0822222	0.22	0.0555556	0.0833333	
0.0822222	0.16	0.0590278	0.111111	
0.0911111	0.3	0.0555556	0.125	
0.122222	0.4	0.0555556	0.0972222	
0.08	0.14	0.0520833	0.0833333	
0.08	0.22	0.0555556	0.0833333	
0.0755556	0.42	0.0520833	0.111111	
0.135556	0.26	0.0486111	0.0833333	
0.0888889	0.54	0.0555556	0.0833333	
0.135556	0.16	0.0590278	0.0972222	
0.0844444	0.3	0.0659722	0.111111	
0.0688889	0.52	0.0625	0.0972222	
0.0688889	0.42	0.0520833	0.125	
0.0866667	0.3	0.0590278	0.111111	
0.0733333	0.24	0.0590278	0.0972222	
0.0911111	0.24	0.0798611	0.0972222	
0.111111	0.18	0.0486111	0.0833333	
0.08	0.24	0.0451389	0.111111	
0.0933333	0.12	0.0520833	0.111111	
0.131111	0.32	0.0486111	0.0972222	
0.175556	0.2	0.0729167	0.0972222	
0.0933333	0.18	0.0486111	0.0972222	
0.0866667	0.26	0.0625	0.0972222	
0.0688889	0.16	0.0625	0.111111	
0.0555556	0.22	0.0590278	0.0833333	
0.0711111	0.52	0.0486111	0.0833333	
0.115556	0.2	0.0555556	0.111111	
0.0577778	0.36	0.0451389	0.0972222	
0.117778	0.16	0.0555556	0.152778	
0.0955556	0.36	0.0555556	0.0972222	
0.151111	0.16	0.0520833	0.0972222	
0.0977778	0.18	0.0798611	0.125	
0.0977778	0.2	0.0555556	0.111111	
0.108889	0.18	0.0555556	0.0972222	
0.06	0.3	0.0694444	0.0972222	
0.0777778	0.14	0.0590278	0.111111	
0.108889	0.22	0.0451389	0.125	
0.1	0.42	0.0590278	0.111111	
0.0666667	0.36	0.0625	0.111111	
0.104444	0.24	0.0486111	0.0833333	
0.186667	0.26	0.0486111	0.111111	
0.0733333	0.24	0.0729167	0.0972222	
0.0866667	0.16	0.0694444	0.0972222	
0.0622222	0.82	0.0486111	0.0972222	
0.0933333	0.36	0.0451389	0.111111	
0.0533333	0.14	0.0486111	0.0972222	
0.0644444	0.18	0.0520833	0.0972222	
0.128889	0.16	0.0520833	0.180556	
0.133333	0.26	0.0590278	0.0972222	
0.0977778	0.18	0.0555556	0.0972222	
0.104444	0.22	0.0555556	0.0833333	
0.124444	0.18	0.0451389	0.0833333	
0.162222	0.22	0.0451389	0.0972222	
0.135556	0.2	0.0555556	0.111111	
0.242222	0.34	0.0555556	0.125	
0.0644444	0.22	0.0555556	0.0833333	
0.0888889	0.18	0.0763889	0.138889	
0.111111	0.4	0.0486111	0.125	
0.113333	0.22	0.0520833	0.138889	
0.106667	0.18	0.0763889	0.0833333	
0.122222	0.2	0.0590278	0.0972222	
0.153333	0.24	0.0625	0.111111	
0.08	0.28	0.0486111	0.111111	
0.0866667	0.28	0.0555556	0.0972222	
0.0755556	0.22	0.0659722	0.0972222	
0.122222	0.18	0.0520833	0.0972222	
0.1	0.18	0.0520833	0.125	
0.0866667	0.24	0.0486111	0.0972222	
0.0555556	0.4	0.0520833	0.111111	
0.226667	0.1	0.0520833	0.0833333	
0.111111	0.3	0.0520833	0.125	
0.0644444	0.16	0.0625	0.111111	
0.0555556	0.32	0.0486111	0.0972222	
0.0888889	0.18	0.0590278	0.0972222	
0.0822222	0.18	0.0590278	0.0972222	
0.06	0.26	0.0590278	0.0833333	
0.157778	0.3	0.0555556	0.111111	
0.0866667	0.22	0.0451389	0.111111	
0.0844444	0.14	0.0555556	0.0833333	
0.0733333	0.24	0.0416667	0.0972222	
0.0688889	0.18	0.0694444	0.0972222	
0.0777778	0.24	0.0972222	0.0972222	
0.0688889	0.32	0.0590278	0.138889	
0.115556	0.22	0.0486111	0.0972222	
0.168889	0.18	0.0416667	0.125	
0.0955556	0.52	0.0555556	0.0972222	
0.117778	0.14	0.0486111	0.0972222	
0.0822222	0.18	0.0416667	0.0833333	
0.0866667	0.36	0.0590278	0.0833333	
0.06	0.14	0.0625	0.0833333	
0.0777778	0.16	0.0486111	0.0972222	
0.08	0.36	0.0590278	0.125	
0.08	0.32	0.0520833	0.0972222	
0.0777778	0.18	0.0486111	0.152778	
0.157778	0.2	0.0590278	0.111111	
0.0777778	0.32	0.0520833	0.166667	
0.106667	0.18	0.0451389	0.0833333	
0.148889	0.32	0.0520833	0.111111	
0.135556	0.22	0.0833333	0.111111	
0.0688889	0.52	0.0451389	0.0972222	
0.0888889	0.24	0.0659722	0.0833333	
0.12	0.2	0.0486111	0.0833333	
0.104444	0.26	0.0416667	0.111111	
0.0866667	0.14	0.0833333	0.0972222	
0.0822222	0.42	0.0625	0.111111	
0.0933333	0.36	0.0555556	0.0972222	
0.0666667	0.54	0.0451389	0.0972222	
0.0688889	0.3	0.0555556	0.111111	
0.0666667	0.18	0.0729167	0.111111	
0.0711111	0.2	0.0520833	0.0833333	
0.08	0.18	0.0555556	0.0972222	
0.0866667	0.16	0.0590278	0.111111	
0.0844444	0.4	0.0555556	0.125	
0.146667	0.18	0.0451389	0.0972222	
0.0622222	0.18	0.0451389	0.0972222	
0.106667	0.28	0.0486111	0.0972222	
0.142222	0.26	0.0694444	0.111111	
0.0733333	0.4	0.0486111	0.0833333	
0.06	0.2	0.0590278	0.0833333	
0.0844444	0.2	0.0451389	0.0833333	
0.117778	0.2	0.0763889	0.0833333	
0.0555556	0.24	0.0520833	0.0972222	
0.06	0.2	0.0520833	0.138889	
0.0688889	0.2	0.0625	0.0972222	
0.0533333	0.22	0.0590278	0.111111	
0.0955556	0.18	0.0659722	0.0972222	
0.0777778	0.3	0.0625	0.0972222	
0.1	0.2	0.0555556	0.0972222	
0.0755556	0.32	0.0520833	0.0972222	
0.06	0.14	0.0659722	0.111111	
0.117778	0.32	0.0694444	0.0833333	
0.0866667	0.24	0.0555556	0.0833333	
0.08	0.14	0.0486111	0.0972222	
0.113333	0.18	0.0659722	0.111111	
0.1	0.24	0.0659722	0.166667	
0.0822222	0.16	0.0590278	0.125	
0.0577778	0.16	0.0763889	0.0833333	
0.0977778	0.32	0.0555556	0.0972222	
0.0777778	0.14	0.0590278	0.111111	
0.0866667	0.26	0.0659722	0.0833333	
0.135556	0.22	0.0659722	0.125	
0.193333	0.18	0.0555556	0.0972222	
0.135556	0.24	0.0833333	0.0833333	
0.0555556	0.34	0.0486111	0.125	
0.0688889	0.42	0.0555556	0.0833333	
0.0666667	0.18	0.0694444	0.0972222	
0.0977778	0.36	0.0694444	0.0972222	
0.0666667	0.24	0.0520833	0.0833333	
0.0755556	0.16	0.0486111	0.111111	
0.146667	0.16	0.0659722	0.0833333	
0.0733333	0.16	0.0590278	0.0972222	
0.0866667	0.24	0.0555556	0.0833333	
0.0844444	0.16	0.0659722	0.0833333	
0.1	0.22	0.0659722	0.111111	
0.0866667	0.22	0.0555556	0.111111	
0.0711111	0.22	0.0486111	0.0833333	
0.122222	0.18	0.0590278	0.0972222	
0.0577778	0.18	0.0555556	0.0972222	
0.0822222	0.66	0.0486111	0.125	
0.0777778	0.18	0.0625	0.111111	
0.0533333	0.16	0.0590278	0.0833333	
0.0866667	0.2	0.0555556	0.111111	
0.0644444	0.2	0.0659722	0.0833333	
0.0711111	0.14	0.0520833	0.0833333	
0.0844444	0.14	0.0555556	0.111111	
0.0933333	0.52	0.0590278	0.111111	
0.0866667	0.22	0.0520833	0.111111	
0.128889	0.18	0.0763889	0.0972222	
0.0755556	0.22	0.0486111	0.0833333	
0.151111	0.24	0.0659722	0.0833333	
0.12	0.28	0.0555556	0.0972222	
0.14	0.2	0.0486111	0.0972222	
0.0822222	0.36	0.0625	0.0972222	
0.0755556	0.32	0.0486111	0.0972222	
0.0977778	0.16	0.0694444	0.0833333	
0.106667	0.14	0.0590278	0.125	
0.0511111	0.54	0.0625	0.111111	
0.0688889	0.14	0.0625	0.0972222	
0.1	0.22	0.0520833	0.138889	
0.0955556	0.36	0.0590278	0.125	
0.0711111	0.22	0.0486111	0.111111	
0.0955556	0.16	0.0694444	0.138889	
0.12	0.42	0.0451389	0.0972222	
0.0711111	0.36	0.0555556	0.111111	
0.0733333	0.42	0.0625	0.0972222	
0.0688889	0.18	0.0625	0.0972222	
0.0888889	0.16	0.0694444	0.0972222	
0.102222	0.66	0.0798611	0.0833333	
0.0755556	0.18	0.0590278	0.0972222	
0.0955556	0.3	0.0555556	0.166667	
0.0577778	0.2	0.0590278	0.0972222	
0.1	0.16	0.0520833	0.0972222	
0.0711111	0.2	0.0972222	0.0972222	
0.0644444	0.26	0.0486111	0.0972222	
0.144444	0.42	0.0520833	0.125	
0.0755556	0.24	0.0625	0.0833333	
0.0755556	0.16	0.0451389	0.111111	
0.0733333	0.34	0.0833333	0.0972222	
0.135556	0.24	0.0555556	0.0972222	
0.0866667	0.32	0.0555556	0.0833333	
0.0577778	0.24	0.0520833	0.138889	
0.0666667	0.32	0.0520833	0.0833333	
0.0822222	0.34	0.0625	0.0972222	
0.0533333	0.34	0.0520833	0.111111	
0.144444	0.2	0.0520833	0.0972222	
0.0888889	0.34	0.0486111	0.138889	
0.06	0.28	0.0590278	0.111111	
0.0688889	0.22	0.0486111	0.0972222	
0.1	0.24	0.0590278	0.111111	
0.08	0.14	0.0590278	0.125	
0.0844444	0.14	0.0555556	0.0972222	
0.104444	0.14	0.0590278	0.0833333	
0.0866667	0.52	0.0590278	0.166667	
0.0911111	0.26	0.0555556	0.0972222	
0.06	0.16	0.0590278	0.222222	
0.168889	0.2	0.0729167	0.0972222	
0.157778	0.4	0.0486111	0.125	
0.0888889	0.24	0.0520833	0.125	
0.0577778	0.28	0.0555556	0.111111	
0.0666667	0.14	0.0520833	0.0972222	
0.0733333	0.14	0.0625	0.0972222	
0.0888889	0.32	0.0590278	0.111111	
0.1	0.18	0.0590278	0.111111	
0.104444	0.16	0.0555556	0.0833333	
0.148889	0.2	0.0486111	0.0972222	
0.124444	0.42	0.0520833	0.180556	
0.108889	0.42	0.0659722	0.111111	
0.0911111	0.18	0.0520833	0.0833333	
0.0533333	0.32	0.0625	0.0972222	
0.0688889	0.26	0.0763889	0.0833333	
0.0844444	0.28	0.0590278	0.0972222	
0.0977778	0.14	0.0625	0.0833333	
0.0622222	0.2	0.0486111	0.138889	
0.0933333	0.36	0.0520833	0.125	
0.1	0.18	0.0659722	0.111111	
0.12	0.2	0.0555556	0.0972222	
0.0644444	0.26	0.0486111	0.0833333	
0.126667	0.34	0.0555556	0.0833333	
0.0844444	0.14	0.0659722	0.111111	
